127.0.0.1 - - [09/Oct/2017:14:59:12 +0530] "GET / HTTP/1.1" 404 1070
127.0.0.1 - - [09/Oct/2017:14:59:13 +0530] "GET /exam/login.html HTTP/1.1" 200 993
127.0.0.1 - - [09/Oct/2017:14:59:14 +0530] "GET /exam/al.js HTTP/1.1" 200 2280
127.0.0.1 - - [09/Oct/2017:14:59:41 +0530] "GET /exam/test.html HTTP/1.1" 200 2275
127.0.0.1 - - [09/Oct/2017:14:59:41 +0530] "GET /exam/al.js HTTP/1.1" 200 2280
127.0.0.1 - - [09/Oct/2017:14:59:41 +0530] "GET /favicon.ico HTTP/1.1" 404 1081
127.0.0.1 - - [09/Oct/2017:14:59:41 +0530] "GET /favicon.ico HTTP/1.1" 404 1081
127.0.0.1 - - [09/Oct/2017:14:59:41 +0530] "POST /exam/ExamApp HTTP/1.1" 200 266
127.0.0.1 - - [09/Oct/2017:14:59:41 +0530] "POST /exam/ExamApp HTTP/1.1" 200 266
127.0.0.1 - - [09/Oct/2017:14:59:50 +0530] "GET /exam/login.html HTTP/1.1" 200 993
127.0.0.1 - - [09/Oct/2017:14:59:50 +0530] "POST /exam/ExamApp HTTP/1.1" 200 266
127.0.0.1 - - [09/Oct/2017:14:59:54 +0530] "POST /exam/ExamApp HTTP/1.1" 200 8
127.0.0.1 - - [09/Oct/2017:14:59:54 +0530] "POST /exam/ExamApp HTTP/1.1" 200 241
127.0.0.1 - - [09/Oct/2017:14:59:55 +0530] "POST /exam/ExamApp HTTP/1.1" 200 8
127.0.0.1 - - [09/Oct/2017:14:59:55 +0530] "POST /exam/ExamApp HTTP/1.1" 200 221
127.0.0.1 - - [09/Oct/2017:14:59:55 +0530] "POST /exam/ExamApp HTTP/1.1" 200 8
127.0.0.1 - - [09/Oct/2017:14:59:55 +0530] "POST /exam/ExamApp HTTP/1.1" 200 195
127.0.0.1 - - [09/Oct/2017:15:00:07 +0530] "POST /exam/ExamApp HTTP/1.1" 200 8
127.0.0.1 - - [09/Oct/2017:15:00:07 +0530] "POST /exam/ExamApp HTTP/1.1" 200 219
127.0.0.1 - - [09/Oct/2017:15:00:12 +0530] "GET /exam/login.html HTTP/1.1" 304 -
127.0.0.1 - - [09/Oct/2017:15:00:12 +0530] "GET /exam/al.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Oct/2017:15:00:12 +0530] "POST /exam/ExamApp HTTP/1.1" 200 219
127.0.0.1 - - [09/Oct/2017:15:00:23 +0530] "GET /exam/exam.html HTTP/1.1" 200 2028
127.0.0.1 - - [09/Oct/2017:15:00:23 +0530] "POST /exam/ExamApp HTTP/1.1" 200 219
127.0.0.1 - - [09/Oct/2017:15:01:28 +0530] "POST /exam/ExamApp HTTP/1.1" 200 8
127.0.0.1 - - [09/Oct/2017:15:01:28 +0530] "POST /exam/ExamApp HTTP/1.1" 200 248
127.0.0.1 - - [09/Oct/2017:15:01:41 +0530] "GET /exam/login.html HTTP/1.1" 304 -
127.0.0.1 - - [09/Oct/2017:15:01:41 +0530] "GET /exam/al.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Oct/2017:15:01:41 +0530] "POST /exam/ExamApp HTTP/1.1" 200 248
127.0.0.1 - - [09/Oct/2017:15:01:43 +0530] "GET /exam/questions.html HTTP/1.1" 200 1541
127.0.0.1 - - [09/Oct/2017:15:01:44 +0530] "POST /exam/ExamApp HTTP/1.1" 200 248
127.0.0.1 - - [09/Oct/2017:15:01:44 +0530] "POST /exam/ExamApp HTTP/1.1" 200 248
127.0.0.1 - - [09/Oct/2017:15:39:49 +0530] "GET /exam/questions.html HTTP/1.1" 304 -
127.0.0.1 - - [09/Oct/2017:15:39:49 +0530] "GET /exam/al.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Oct/2017:15:39:49 +0530] "POST /exam/ExamApp HTTP/1.1" 200 248
127.0.0.1 - - [09/Oct/2017:15:39:49 +0530] "POST /exam/ExamApp HTTP/1.1" 200 248
127.0.0.1 - - [09/Oct/2017:15:40:03 +0530] "GET /exam/questions1.html HTTP/1.1" 200 1548
127.0.0.1 - - [09/Oct/2017:15:40:03 +0530] "POST /exam/ExamApp HTTP/1.1" 200 248
127.0.0.1 - - [09/Oct/2017:15:40:03 +0530] "POST /exam/ExamApp HTTP/1.1" 200 248
127.0.0.1 - - [09/Oct/2017:15:41:36 +0530] "GET /exam/questions1.html HTTP/1.1" 200 2746
127.0.0.1 - - [09/Oct/2017:15:41:36 +0530] "GET /exam/al.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Oct/2017:15:41:36 +0530] "POST /exam/ExamApp HTTP/1.1" 200 248
127.0.0.1 - - [09/Oct/2017:15:41:36 +0530] "POST /exam/ExamApp HTTP/1.1" 200 248
127.0.0.1 - - [09/Oct/2017:15:43:07 +0530] "GET /exam/questions1.html HTTP/1.1" 200 2746
127.0.0.1 - - [09/Oct/2017:15:43:07 +0530] "GET /exam/al.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Oct/2017:15:43:07 +0530] "POST /exam/ExamApp HTTP/1.1" 200 248
127.0.0.1 - - [09/Oct/2017:15:43:07 +0530] "POST /exam/ExamApp HTTP/1.1" 200 248
