127.0.0.1 - - [13/Oct/2017:20:22:15 +0530] "GET /exam/login.html HTTP/1.1" 200 994
127.0.0.1 - - [13/Oct/2017:20:22:16 +0530] "GET /exam/al.js HTTP/1.1" 200 2307
127.0.0.1 - - [13/Oct/2017:20:22:16 +0530] "POST /exam/ExamApp HTTP/1.1" 200 238
127.0.0.1 - - [13/Oct/2017:20:22:16 +0530] "GET /favicon.ico HTTP/1.1" 404 1081
127.0.0.1 - - [13/Oct/2017:20:22:16 +0530] "GET /favicon.ico HTTP/1.1" 404 1081
127.0.0.1 - - [13/Oct/2017:20:22:19 +0530] "GET /exam/login1.html HTTP/1.1" 200 1543
127.0.0.1 - - [13/Oct/2017:20:22:19 +0530] "GET /exam/style.css HTTP/1.1" 200 3097
127.0.0.1 - - [13/Oct/2017:20:22:20 +0530] "POST /exam/ExamApp HTTP/1.1" 200 238
127.0.0.1 - - [13/Oct/2017:20:22:25 +0530] "GET /exam/register1.html HTTP/1.1" 200 4415
127.0.0.1 - - [13/Oct/2017:20:22:25 +0530] "GET /exam/css/normalize.css HTTP/1.1" 404 1092
127.0.0.1 - - [13/Oct/2017:20:22:25 +0530] "GET /exam/css/main.css HTTP/1.1" 404 1087
127.0.0.1 - - [13/Oct/2017:20:22:25 +0530] "POST /exam/ExamApp HTTP/1.1" 200 238
127.0.0.1 - - [13/Oct/2017:20:22:25 +0530] "POST /exam/ExamApp HTTP/1.1" 200 238
127.0.0.1 - - [13/Oct/2017:20:22:52 +0530] "GET /exam/register1.html?user_name=sumit&user_id=sumit&user_password=123&user_type=student HTTP/1.1" 200 4415
127.0.0.1 - - [13/Oct/2017:20:22:52 +0530] "GET /exam/css/normalize.css HTTP/1.1" 404 1092
127.0.0.1 - - [13/Oct/2017:20:22:52 +0530] "GET /exam/css/main.css HTTP/1.1" 404 1087
127.0.0.1 - - [13/Oct/2017:20:22:52 +0530] "POST /exam/ExamApp HTTP/1.1" 200 238
127.0.0.1 - - [13/Oct/2017:20:22:52 +0530] "POST /exam/ExamApp HTTP/1.1" 200 238
127.0.0.1 - - [13/Oct/2017:20:24:26 +0530] "GET /exam/register1.html?user_name=sumit&user_id=sumit&user_password=123&user_type=student HTTP/1.1" 200 4445
127.0.0.1 - - [13/Oct/2017:20:24:26 +0530] "GET /exam/al.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Oct/2017:20:24:26 +0530] "GET /exam/css/normalize.css HTTP/1.1" 404 1092
127.0.0.1 - - [13/Oct/2017:20:24:26 +0530] "GET /exam/css/main.css HTTP/1.1" 404 1087
127.0.0.1 - - [13/Oct/2017:20:24:27 +0530] "POST /exam/ExamApp HTTP/1.1" 200 238
127.0.0.1 - - [13/Oct/2017:20:24:27 +0530] "POST /exam/ExamApp HTTP/1.1" 200 238
127.0.0.1 - - [13/Oct/2017:20:24:41 +0530] "GET /exam/register1.html?user_name=sourav&user_id=g4geniusk&user_password=123&user_type=student HTTP/1.1" 200 4445
